Order_ID,Customer_ID,Customer_Type,Product,Category,Unit_Price,Quantity,Discount,Total_Price,Region,Order_Date,Cluster,Order_Month
ORD1663596,CUS5073,B2B,Hohes C Orange,Juices,21.78863280600975,137.496565250891,0.03375611655144091,2691.3434287195264,Niedersachsen,2023-11-29,3,2023-11
ORD1999010,CUS141,B2B,Fritz-Kola,Soft Drinks,21.78863280600975,101.01674675334596,0.03167630504544964,1984.3553571686139,Bremen,2021-05-13,8,2021-05
ORD347756,CUS562,B2B,Merlot,Alcoholic Beverages,44.63409354875923,136.41198720227652,0.03574346083743612,3620.688886224146,Thüringen,2021-04-21,3,2021-04
ORD600360,CUS7718,B2B,Moët & Chandon,Alcoholic Beverages,69.08778328552054,142.9245165465517,0.03375611655144091,4672.623550897499,Hamburg,2021-08-23,2,2021-08
ORD2300591,CUS6160,B2C,Granini Apple,Juices,20.52792035673735,65.54780730364821,0.029495,1205.2749952709114,Sachsen,2022-10-16,1,2022-10
ORD1905015,CUS7810,B2B,Riesling,Alcoholic Beverages,40.043338019753826,125.63939853037772,0.03167630504544964,3285.242281371152,Bayern,2021-02-27,0,2021-02
ORD2638652,CUS4386,B2C,Pepsi,Soft Drinks,21.08903954375245,70.39181261529038,0.029495,1337.1049114969735,Niedersachsen,2023-08-13,1,2023-08
ORD803183,CUS7916,B2C,Hohes C Orange,Juices,21.415962817739935,96.45094788678313,0.029495,1897.7767018698912,Saarland,2022-10-06,1,2022-10
ORD1747192,CUS7549,B2B,Havana Club,Alcoholic Beverages,57.8102943656489,130.66726943908648,0.03375611655144091,4021.104165567943,Bayern,2023-03-16,9,2023-03
ORD1669739,CUS3794,B2B,Vio Wasser,Water,16.18611674346368,74.48736075017361,0.03167630504544964,1132.6480802932888,Niedersachsen,2021-09-20,8,2021-09
ORD7309,CUS8398,B2B,Granini Apple,Juices,18.315326820616164,114.86680985847892,0.03167630504544964,2068.946142548688,Bremen,2021-09-23,8,2021-09
ORD1335063,CUS5901,B2B,Schwip Schwap,Soft Drinks,18.447138729930987,138.1957759395182,0.03375611655144091,2514.848552783676,Brandenburg,2021-01-05,3,2021-01
ORD1027922,CUS9035,B2C,Evian,Water,18.182353557933595,59.61922394339157,0.029495,962.8126686303588,Niedersachsen,2022-09-03,1,2022-09
ORD1271103,CUS3392,B2C,Cranberry Juice,Juices,28.44190291786276,94.73625794724279,0.029495,2198.4835666508457,Nordrhein-Westfalen,2021-02-19,1,2021-02
ORD2464854,CUS9264,B2C,Tomato Juice,Juices,27.995452208473875,90.93428708386719,0.029495,2098.964389157209,Baden-Württemberg,2022-08-11,1,2022-08
ORD2267500,CUS3108,B2C,Granini Apple,Juices,20.2393385687391,59.61922394339157,0.029495,1062.3676532571044,Schleswig-Holstein,2021-02-06,1,2021-02
ORD2805233,CUS8793,B2C,Schwip Schwap,Soft Drinks,18.24898663607309,78.03508591508734,0.029495,1347.3645818473597,Rheinland-Pfalz,2023-08-15,1,2023-08
ORD2842493,CUS5962,B2B,Passion Fruit Juice,Juices,26.723381090778627,122.09167336546398,0.03167630504544964,2654.3987515680346,Berlin,2023-04-23,0,2023-04
ORD176500,CUS774,B2C,Mango Juice,Juices,27.925580011066526,81.16440128718918,0.029495,1887.861986917308,Hessen,2023-10-06,1,2023-10
